編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPRNMLSKKHOFFAE28CA,坡道機械,0,
RPVOMLQLKHOFFAE68CA,坡道平面,0,16.80
RPVOMLQLKHOFFAE68CA,坡道平面,0,16.80
RPXNMLMLKHOFFAE38CA,坡道機械,0,7.05
RPOOMLMLKHOFFAE57CA,坡道平面,0,29.14
RPVNMLQLKHOFFAE58CA,坡道平面,0,
RPRNMLNKKHOFFCE97CA,坡道平面,0,
RPTNMLNKKHOFFCE18CA,坡道機械,0,18.33
RPPOMLQKKHOFFCE18CA,坡道平面,1200000,24.86
RPQOMLQKKHOFFCE28CA,坡道平面,1010000,24.86
RPROMLQKKHOFFCE38CA,坡道平面,1050000,24.86
RPVNMLTKKHOFFCE98CA,坡道平面,1050000,24.86
RPQOMLPKKHOFFDE28CA,坡道機械,0,
RPWNMLPKKHOFFDE78CA,坡道平面,0,23.24
RPWNMLPKKHOFFDE78CA,坡道平面,0,23.24
RPVOMLLKKHOFFEE48CA,坡道平面,0,
RPVNMLPKKHOFFEE78CA,坡道機械,0,
RPVNMLPKKHOFFEE78CA,坡道機械,0,
RPSNMLNKKHOFFEE28CA,坡道機械,0,15.18
RPVOMLNKKHOFFEE68CA,一樓平面,1500000,15.67
RPVOMLNKKHOFFEE68CA,一樓平面,1500000,15.67
RPXNMLNKKHOFFEE78CA,坡道機械,0,8.50
RPSPMLNLKHOFFEE58CA,坡道平面,0,
RPTOMLMLKHOFFEE48CA,坡道平面,0,
RPTNMLMKKHOFFGE48CA,坡道平面,1000000,33.99
RPVOMLLKKHOFFGE68CA,坡道平面,360000,23.13
RPSNMLMKKHOFFGE38CA,坡道平面,1000000,33.99
RPPNMLQKKHOFFGE48CA,坡道平面,0,
RPQNMLRKKHOFFGE68CA,坡道機械,0,16.57
RPOPMLMLKHOFFGE28CA,坡道平面,0,
RPOPMLMLKHOFFGE28CA,坡道平面,0,
RPOPMLMLKHOFFGE28CA,坡道平面,0,
RPWOMLNLKHOFFGE09CA,坡道機械,0,
RPXNMLRLKHOFFGE86CA,坡道平面,0,
RPROMLLLKHOFFIE58CA,坡道平面,0,19.40
RPROMLLLKHOFFIE58CA,坡道平面,0,19.40
RPUNMLQLKHOFFIE66CA,坡道平面,0,
RPSNMLMKKHOFFBE97DA,坡道平面,1000000,19.72
RPSOMLLJKHOFFDE08DA,坡道平面,0,23.66
RPSOMLLJKHOFFDE08DA,坡道平面,0,23.66
